material_id,cnc_num,load_raw_start,unload_half_start,load_half_start,unload_pipe_start
165,1,00:00:00,00:08:53,00:09:25,00:15:04
166,5,00:00:50,00:10:42,00:11:27,00:18:39
167,1,00:01:17,00:16:14,00:17:04,00:24:33
168,7,00:02:07,00:11:54,00:12:44,00:19:49
169,7,00:02:57,00:20:41,00:21:13,00:37:09
170,1,00:09:52,00:25:25,00:25:57,00:30:53
171,5,00:13:29,00:22:30,00:23:02,00:27:28
172,5,00:14:19,00:28:38,00:29:23,00:34:28
173,1,00:17:49,00:32:03,00:32:53,00:43:15
174,7,00:21:40,00:38:01,00:38:33,00:48:51
175,5,00:23:29,00:35:20,00:35:52,00:39:50
176,1,00:26:24,00:44:07,00:44:39,00:54:57
177,5,00:30:08,00:41:00,00:41:45,00:46:10
178,7,00:33:38,02:47:15,02:48:19,02:59:09
179,5,00:36:19,00:47:02,00:47:34,00:51:32
180,7,00:39:00,00:49:43,00:50:15,01:00:33
181,5,00:42:30,00:52:42,00:53:27,00:57:52
182,1,00:45:06,00:55:49,00:56:21,01:06:39
183,5,00:48:01,00:58:44,00:59:16,01:03:14
184,7,00:50:42,01:01:25,01:01:57,01:12:15
185,5,00:54:12,01:04:24,01:05:09,01:09:34
186,1,00:56:48,01:07:31,01:08:03,01:18:21
187,5,00:59:43,01:10:26,01:10:58,01:14:56
188,7,01:02:24,01:13:07,01:13:39,01:23:57
189,5,01:05:54,01:16:06,01:16:51,01:21:16
190,1,01:08:30,01:19:13,01:19:45,01:30:03
191,5,01:11:25,01:22:08,01:22:40,01:26:38
192,7,01:14:06,01:24:49,01:25:21,01:35:39
193,5,01:17:36,01:27:48,01:28:33,01:32:58
194,1,01:20:12,01:30:55,01:31:27,01:41:45
195,5,01:23:07,01:33:50,01:34:22,01:38:20
196,7,01:25:48,01:36:31,01:37:03,01:47:21
197,5,01:29:18,01:39:30,01:40:15,01:44:40
198,1,01:31:54,01:42:37,01:43:09,01:53:27
199,5,01:34:49,01:45:32,01:46:04,01:50:02
200,7,01:37:30,01:48:13,01:48:45,01:59:03
201,5,01:41:00,01:51:12,01:51:57,01:56:22
202,1,01:43:36,01:54:19,01:54:51,02:05:09
203,5,01:46:31,01:57:14,01:57:46,02:01:44
204,7,01:49:12,01:59:55,02:00:27,02:10:45
205,5,01:52:42,02:02:54,02:03:39,02:08:04
206,1,01:55:18,02:06:01,02:06:33,02:16:51
207,5,01:58:13,02:08:56,02:09:28,02:13:26
208,7,02:00:54,02:11:37,02:12:09,02:22:27
209,5,02:04:24,02:14:36,02:15:21,02:19:46
210,1,02:07:00,02:17:43,02:18:15,02:28:33
211,5,02:09:55,02:20:38,02:21:10,02:25:08
212,7,02:12:36,02:23:19,02:23:51,02:34:09
213,5,02:16:06,02:26:18,02:27:03,02:31:28
214,1,02:18:42,02:29:25,02:29:57,02:40:15
215,5,02:21:37,02:32:20,02:32:52,02:36:50
216,7,02:24:18,02:35:01,02:35:33,02:45:51
217,5,02:27:48,02:38:00,02:38:45,02:43:10
218,1,02:30:24,02:41:07,02:41:39,02:53:33
219,5,02:33:19,02:44:02,02:44:34,02:49:36
220,8,02:36:00,00:00:00,00:00:00,00:00:00
221,5,02:39:30,02:51:18,02:52:03,02:56:28
222,1,02:42:06,02:54:25,02:54:57,03:05:15
223,5,02:45:01,02:57:20,02:57:52,03:01:50
224,7,02:48:46,03:00:01,03:00:33,03:10:51
225,7,02:50:46,03:29:18,03:30:22,03:35:47
226,5,02:52:48,03:03:00,03:03:45,03:08:10
227,1,02:55:24,03:06:07,03:06:39,03:16:57
228,5,02:58:19,03:09:02,03:09:34,03:13:32
229,7,03:01:00,03:11:43,03:12:15,03:22:33
230,5,03:04:30,03:14:42,03:15:27,03:19:52
231,1,03:07:06,03:17:49,03:18:21,03:32:38
232,5,03:10:01,03:20:44,03:21:16,03:25:14
